"Scenario_ID","Image_Description"
"S011","A surgeon is the main subject, shown inside a hospital consultation room. The surgeon is keeping hands steady on surgical tools during unexpected complication. Visible in the frame near the surgeon: hands steady on surgical tools. The surgeon is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The surgeon wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S012","A parent is the main subject, shown inside a home kitchen. The parent is wiping spilled milk from the floor with a cloth while picking up a broken toy with the other hand. A damp cloth is held in one hand and a broken toy piece is held in the other. The parent kneels on the kitchen floor in the foreground, with the spill visible beside them. The setting is a home kitchen. The parent wears ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject. Warm daylight enters through a kitchen window. Kitchen counters, a stove, and cooking utensils are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S013","A priest is the main subject, shown inside a home prayer area. The priest is continuing ritual steps while devotees clap and shout nearby. Visible in the frame near the priest: ritual steps. The priest is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home prayer area. The priest wears ordinary contemporary clothing. The image is framed as a medium shot centered on the subject. Soft, warm indoor lighting illuminates the scene. A small altar with a lamp and religious items is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S014","A judge is the main subject, shown inside a courtroom. The judge is delivering verdict while news cameras flash nearby. Visible in the frame near the judge: verdict. The judge is positioned in the center of the frame, facing the camera at a natural angle. The setting is a courtroom. The judge wears formal professional attire. The image is framed as a medium shot, waist-up, centered on the subject. Even, formal indoor lighting fills the courtroom. A judge's bench or witness stand and wood-paneled walls are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S015","A volunteer is the main subject, shown inside a home living room. The volunteer is serving food to both thanking and complaining recipients. Visible in the frame near the volunteer: food to both thanking and complaining recipients. The volunteer is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The volunteer wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S016","A monk is the main subject, shown inside a home dining room. The monk is walking slowly past steaming food stall without stopping or purchasing. Visible in the frame near the monk: slowly past steaming food stall. The monk is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home dining room. The monk wears ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject and the table. Warm daylight fills the dining room. A dining table with plates and serving dishes is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S017","A programmer is the main subject, shown inside a modern office. The programmer is intently typing code without looking at smartphone screen. Visible in the frame near the programmer: typing code. The programmer is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The programmer wears ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S018","An athlete is the main subject, shown inside a gym. The athlete is following strict diet during training season avoiding sweets. Visible in the frame near the athlete: strict diet. The athlete is positioned in the center of the frame, facing the camera at a natural angle. The setting is a gym. The athlete wears athletic sportswear. The image is framed as a medium shot, waist-up, centered on the subject. Bright, even indoor lighting fills the gym. Exercise equipment is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S019","A sick person is the main subject, shown inside a hospital consultation room. The sick person is moving lips in chant while waiting outside clinic room. Visible in the frame near the sick person: lips in chant. The sick person is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The sick person wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S020","An air traffic controller is the main subject, shown inside a home prayer area. The air traffic controller is reciting prayer during emergency landing situation. Visible in the frame near the air traffic controller: prayer. The air traffic controller is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home prayer area. The air traffic controller wears ordinary contemporary clothing. The image is framed as a medium shot centered on the subject. Soft, warm indoor lighting illuminates the scene. A small altar with a lamp and religious items is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S021","A student is the main subject, shown inside a classroom. The student is reviewing formulas quietly. Visible in the frame near the student: formulas quietly. The student is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The student wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S022","A volunteer is the main subject, shown inside a home living room. The volunteer is handing out food relief while wearing patched, worn clothing. Visible in the frame near the volunteer: out food relief. The volunteer is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The volunteer wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S023","A nurse in hospital uniform is the main subject, shown inside a hospital consultation room. The nurse in hospital uniform is arriving for second shift while family waves goodbye. Visible in the frame near the nurse in hospital uniform: for second shift. The nurse in hospital uniform is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The nurse in hospital uniform wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S024","A neighbor is the main subject, shown inside a home dining room. The neighbor is sharing last bag of rice with hungry family during shortage. Visible in the frame near the neighbor: last bag of rice with hungry family. The neighbor is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home dining room. The neighbor wears ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject and the table. Warm daylight fills the dining room. A dining table with plates and serving dishes is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S025","A statue is the main subject, shown inside a home prayer area. The statue is standing still in temple courtyard while wind blows flowers around. Visible in the frame near the statue: still in temple courtyard. The statue is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home prayer area. The statue wears ordinary contemporary clothing. The image is framed as a medium shot centered on the subject. Soft, warm indoor lighting illuminates the scene. A small altar with a lamp and religious items is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S026","A security guard is the main subject, shown inside a control room. The security guard is maintaining vigilant posture during empty night shift. Visible in the frame near the security guard: vigilant posture. The security guard is positioned in the center of the frame, facing the camera at a natural angle. The setting is a control room. The security guard wears a plain work uniform. The image is framed as a medium shot, waist-up, centered on the subject. Dim, artificial control-room lighting illuminates the scene. Control panels and monitoring equipment are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S027","A lighthouse keeper is the main subject, shown inside a control room. The lighthouse keeper is turning brass lens mechanism during stormy night. Visible in the frame near the lighthouse keeper: brass lens mechanism. The lighthouse keeper is positioned in the center of the frame, facing the camera at a natural angle. The setting is a control room. The lighthouse keeper wears a plain work uniform. The image is framed as a medium shot, waist-up, centered on the subject. Dim, artificial control-room lighting illuminates the scene. Control panels and monitoring equipment are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S028","A devotee is the main subject, shown inside a home prayer area. The devotee is walking circular path around temple shrine for one hour. Visible in the frame near the devotee: circular path around temple shrine for one hour. The devotee is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home prayer area. The devotee wears ordinary contemporary clothing. The image is framed as a medium shot centered on the subject. Soft, warm indoor lighting illuminates the scene. A small altar with a lamp and religious items is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S029","A researcher is the main subject, shown inside a research laboratory. The researcher is repeating experiment procedure hundreds of times for verification. Visible in the frame near the researcher: experiment procedure hundreds of times for verification. The researcher is positioned in the center of the frame, facing the camera at a natural angle. The setting is a research laboratory. The researcher wears a plain lab coat over contemporary clothing. The image is framed as a medium shot centered on the subject and the equipment. Bright, even overhead laboratory lighting fills the room. Laboratory benches with glassware and equipment are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S030","A Muslim is the main subject, shown inside a home prayer area. The Muslim is performing five daily prayers at fixed times regardless of activity. Visible in the frame near the Muslim: five daily prayers at fixed times. The Muslim is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home prayer area. The Muslim wears ordinary contemporary clothing. The image is framed as a medium shot centered on the subject. Soft, warm indoor lighting illuminates the scene. A small altar with a lamp and religious items is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S031","A farmer is the main subject, shown inside an outdoor garden. The farmer is testing soil moisture with handheld meter in furrows. Visible in the frame near the farmer: soil moisture with handheld meter in furrows. The farmer is positioned in the center of the frame, facing the camera at a natural angle. The setting is an outdoor garden. The farmer wears ordinary contemporary outdoor clothing. The image is framed as a medium shot, waist-up, centered on the subject. Natural daylight illuminates the garden. Rows of plants and garden tools are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S032","A student is the main subject, shown inside a classroom. The student is reviewing multiplication tables using flashcards. Visible in the frame near the student: multiplication tables using flashcards. The student is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The student wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S033","A baker is the main subject, shown inside a home kitchen. The baker is checking flour quality and expiration dates. Visible in the frame near the baker: flour quality and expiration dates. The baker is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home kitchen. The baker wears ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject. Warm daylight enters through a kitchen window. Kitchen counters, a stove, and cooking utensils are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S034","A volunteer is the main subject, shown inside an outdoor park. The volunteer is distributing apples and oranges to a group of smiling children at an after-school program. A basket of apples and oranges rests in the volunteer's hands, with several pieces of fruit already given to the children. The volunteer stands centered in the frame, surrounded by children reaching for the fruit. The setting is an outdoor park. The volunteer wears ordinary contemporary outdoor clothing. The image is framed as a medium shot, waist-up, centered on the subject. Warm natural daylight illuminates the scene. Trees and open pathways are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S035","A senior mentor is the main subject, shown inside a hospital consultation room. The senior mentor is patiently guiding two junior colleagues through complex software problem. Visible in the frame near the senior mentor: guiding two junior colleagues through complex software problem. The senior mentor is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The senior mentor wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S036","A gardener is the main subject, shown inside an outdoor garden. The gardener is using watering can to nurture vegetable seedlings in community garden bed. Visible in the frame near the gardener: watering can to nurture vegetable seedlings in community garden bed. The gardener is positioned in the center of the frame, facing the camera at a natural angle. The setting is an outdoor garden. The gardener wears ordinary contemporary outdoor clothing. The image is framed as a medium shot, waist-up, centered on the subject. Natural daylight illuminates the garden. Rows of plants and garden tools are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S037","A restaurant owner is the main subject, shown inside a restaurant dining area. The restaurant owner is researching local food preferences and dietary trends. Visible in the frame near the restaurant owner: local food preferences and dietary trends. The restaurant owner is positioned in the center of the frame, facing the camera at a natural angle. The setting is a restaurant dining area. The restaurant owner wears ordinary contemporary clothing or an apron. The image is framed as a medium shot, waist-up, centered on the subject. Warm indoor restaurant lighting fills the space. Restaurant tables and place settings are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S038","A financial analyst is the main subject, shown inside a modern office. The financial analyst is studying 10- year market trends. Visible in the frame near the financial analyst: 10- year market trends. The financial analyst is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The financial analyst wears ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S039","A musician is the main subject, shown inside a home living room. The musician is practicing scales and fundamentals for hour. Visible in the frame near the musician: scales and fundamentals for hour. The musician is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The musician wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S040","A science teacher is the main subject, shown inside a classroom. The science teacher is using colorful chemical reaction demo to engage previously disinterested class. Visible in the frame near the science teacher: colorful chemical reaction demo to engage previously disinterested class. The science teacher is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The science teacher wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S041","A personal trainer is the main subject, shown inside a gym. The personal trainer is discovering client enjoys boxing, finally motivating regular gym attendance. Visible in the frame near the personal trainer: client enjoys boxing, finally motivating regular gym attendance. The personal trainer is positioned in the center of the frame, facing the camera at a natural angle. The setting is a gym. The personal trainer wears athletic sportswear. The image is framed as a medium shot, waist-up, centered on the subject. Bright, even indoor lighting fills the gym. Exercise equipment is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S042","A manager is the main subject, shown inside a retail appliance store. The manager is assigning customer service role to employee who previously struggled with technical tasks. Visible in the frame near the manager: customer service role to employee who previously struggled with technical tasks. The manager is positioned in the center of the frame, facing the camera at a natural angle. The setting is a retail appliance store. The manager wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Bright, even retail store lighting fills the space. Rows of display appliances are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S043","A volunteer coordinator is the main subject, shown inside a home living room. The volunteer coordinator is organizing fresh vegetable boxes for weekly senior delivery program. Visible in the frame near the volunteer coordinator: fresh vegetable boxes for weekly senior delivery program. The volunteer coordinator is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The volunteer coordinator wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S044","An engineering professor is the main subject, shown inside a classroom. The engineering professor is creating summer internship pipeline with local tech companies. Visible in the frame near the engineering professor: summer internship pipeline with local tech companies. The engineering professor is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The engineering professor wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S045","The parents are the main subject, shown inside a home bedroom. The parents are establishing consistent 7: 30pm bedtime routine with story and cuddle for toddler. Visible in the frame near the parents: consistent 7: 30pm bedtime routine with story and cuddle for toddler. The parents is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home bedroom. The parents wear ordinary contemporary home clothing. The image is framed as a medium shot centered on the subject. Soft, dim evening lighting fills the bedroom. A bed with pillows and blankets is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S046","A neighborhood is the main subject, shown inside a home dining room. The neighborhood is sharing potluck meal. Visible in the frame near the neighborhood: potluck meal. The neighborhood is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home dining room. The neighborhood wears ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject and the table. Warm daylight fills the dining room. A dining table with plates and serving dishes is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S047","The software team are the main subject, shown inside a modern office. The software team are celebrating with coffee and smiles when critical server finally receives upgrade patch. Visible in the frame near the software team: with coffee and smiles. The software team is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The software team wear ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S048","A family is the main subject, shown inside a home kitchen. The family is expressing relief when primary breadwinner signs stable employment contract. Visible in the frame near the family: relief. The family is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home kitchen. The family wears ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject. Warm daylight enters through a kitchen window. Kitchen counters, a stove, and cooking utensils are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S049","A volunteer literature student is the main subject, shown inside a classroom. The volunteer literature student is helping struggling reader discover passion through graphic novels. Visible in the frame near the volunteer literature student: struggling reader discover passion through graphic novels. The volunteer literature student is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The volunteer literature student wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S050","A career counselor is the main subject, shown inside a modern office. The career counselor is helping former accountant transition to UX design using transferable analytical skills. Visible in the frame near the career counselor: former accountant transition to UX design using transferable analytical skills. The career counselor is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The career counselor wears ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S051","A supervisor is the main subject, shown inside a modern office. The supervisor is noticing employee's talent for visual organization and assigning to inventory management role. Visible in the frame near the supervisor: employee's talent for visual organization and assigning to inventory management role. The supervisor is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The supervisor wears ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S052","A person is the main subject, shown inside a home living room. The person is choosing 8 hours of sleep over late- night streaming session. Visible in the frame near the person: 8 hours of sleep over late- night streaming session. The person is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home living room. The person wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject. Soft, natural indoor lighting fills the room. Simple household furniture is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S053","A software developer is the main subject, shown inside a modern office. The software developer is prioritizing daily code fundamentals practice over learning trendy frameworks. Visible in the frame near the software developer: daily code fundamentals practice over learning trendy frameworks. The software developer is positioned in the center of the frame, facing the camera at a natural angle. The setting is a modern office. The software developer wears ordinary contemporary office attire. The image is framed as a medium shot, waist-up, centered on the subject. Soft indoor lighting fills the office. Desks, computer monitors, and office partitions are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S054","A parent is the main subject, shown inside a hospital consultation room. The parent is realizing consistent homework routine matters more than occasional ice cream reward for grades. Visible in the frame near the parent: consistent homework routine matters more than occasional ice cream reward for grades. The parent is positioned in the center of the frame, facing the camera at a natural angle. The setting is a hospital consultation room. The parent wears a plain hospital uniform. The image is framed as a medium shot, waist-up, centered on the subject. Soft, even indoor lighting fills the room. Medical equipment and a hospital bed are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S055","A medical student is the main subject, shown inside a classroom. The medical student is spending extra time mastering anatomy memorization. Visible in the frame near the medical student: extra time mastering anatomy memorization. The medical student is positioned in the center of the frame, facing the camera at a natural angle. The setting is a classroom. The medical student wears plain contemporary clothing. The image is framed as an eye-level medium shot centered on the subject. Natural daylight enters through classroom windows, softly illuminating the scene. Rows of wooden desks and a large chalkboard are visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S056","A graphic designer is the main subject, shown inside a home studio desk area. The graphic designer is practicing hand- lettering basics for 30 minutes daily. Visible in the frame near the graphic designer: hand- lettering basics for 30 minutes daily. The graphic designer is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home studio desk area. The graphic designer wears ordinary contemporary clothing. The image is framed as a medium shot, waist-up, centered on the subject and the desk. Soft daylight from a nearby window illuminates the desk. A desk with papers and creative materials is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
"S057","The parents are the main subject, shown inside a home dining room. The parents are making family dinner together without screens their highest priority weekday evening. Visible in the frame near the parents: family dinner together. The parents is positioned in the center of the frame, facing the camera at a natural angle. The setting is a home dining room. The parents wear ordinary contemporary home clothing. The image is framed as a medium shot, waist-up, centered on the subject and the table. Warm daylight fills the dining room. A dining table with plates and serving dishes is visible behind the subject. The subject's face and hands are clearly visible with natural body proportions, realistic anatomy, sharp focus, balanced composition, and no visual distortions."
